[contrastive] pool 200, chance 0.50%  window 50 samples (200 ms)
params 6,300,672
/home/brandonin/Documents/IBM-1/scripts/control_speech_to_meg.py:135: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"  {step:5d}  loss {float(loss):.4f}  top-1 {100*top1:5.2f}%  "
      0  loss 4.9180  top-1  1.00%  (2.0x chance)
    500  loss 4.6573  top-1  1.00%  (2.0x chance)
   1000  loss 4.7079  top-1  1.50%  (3.0x chance)
   1500  loss 4.5491  top-1  2.50%  (5.0x chance)
   2000  loss 4.5972  top-1  2.50%  (5.0x chance)
   2500  loss 4.4109  top-1  2.50%  (5.0x chance)
   3000  loss 4.6916  top-1  1.50%  (3.0x chance)
   3500  loss 4.4990  top-1  1.50%  (3.0x chance)
   4000  loss 4.4273  top-1  2.00%  (4.0x chance)
   4500  loss 4.4933  top-1  2.50%  (5.0x chance)
   5000  loss 4.4612  top-1  0.50%  (1.0x chance)
   5500  loss 4.4264  top-1  1.00%  (2.0x chance)
   6000  loss 4.4254  top-1  2.00%  (4.0x chance)
