[contrastive] pool 200, chance 0.50%  window 250 samples (1000 ms)
params 12,854,272
/home/brandonin/Documents/IBM-1/scripts/control_speech_to_meg.py:135: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"  {step:5d}  loss {float(loss):.4f}  top-1 {100*top1:5.2f}%  "
      0  loss 4.8958  top-1  0.50%  (1.0x chance)
    500  loss 4.4796  top-1  1.50%  (3.0x chance)
   1000  loss 4.1966  top-1  3.00%  (6.0x chance)
   1500  loss 3.9717  top-1  5.50%  (11.0x chance)
   2000  loss 3.7161  top-1  5.00%  (10.0x chance)
   2500  loss 3.7877  top-1  5.00%  (10.0x chance)
   3000  loss 3.4760  top-1  8.50%  (17.0x chance)
   3500  loss 3.7301  top-1  7.00%  (14.0x chance)
   4000  loss 3.3850  top-1  6.00%  (12.0x chance)
   4500  loss 3.3770  top-1  6.50%  (13.0x chance)
   5000  loss 2.9831  top-1  6.50%  (13.0x chance)
   5500  loss 2.9437  top-1  8.00%  (16.0x chance)
   6000  loss 2.7668  top-1  4.00%  (8.0x chance)
