[contrastive] pool 200, chance 0.50%  window 50 samples (200 ms)
params 6,300,672
/home/brandonin/Documents/IBM-1/scripts/control_speech_to_meg.py:146: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"  {step:5d}  loss {float(loss):.4f}  top-1 {100*top1:5.2f}% "
      0  loss 4.9192  top-1  0.37% +/-0.33  (0.7x chance)
    500  loss 4.5306  top-1  1.81% +/-0.61  (3.6x chance)
   1000  loss 4.5292  top-1  2.94% +/-0.81  (5.9x chance)
   1500  loss 4.2782  top-1  3.69% +/-1.85  (7.4x chance)
   2000  loss 4.3510  top-1  4.44% +/-0.92  (8.9x chance)
   2500  loss 4.2969  top-1  3.19% +/-1.03  (6.4x chance)
   3000  loss 4.1759  top-1  4.50% +/-0.90  (9.0x chance)
   3500  loss 4.2125  top-1  3.81% +/-1.03  (7.6x chance)
   4000  loss 4.1384  top-1  4.50% +/-0.61  (9.0x chance)
   4500  loss 3.8575  top-1  4.81% +/-1.20  (9.6x chance)
   5000  loss 4.0065  top-1  5.31% +/-0.75  (10.6x chance)
   5500  loss 3.9284  top-1  3.94% +/-1.70  (7.9x chance)
   6000  loss 4.0352  top-1  4.62% +/-0.99  (9.2x chance)
