train 5 films, 504,520 frames (5.61 h)
    BigBoyRidesAgain_frames.npy
    rog561b_netzero_310_frames.npy
    rog561b_netzero_317_frames.npy
    rog56_mail_614_frames.npy
    rog56_mail_922_frames.npy
HELD-OUT 2 films, 183,905 frames (2.04 h)
    rog56_mail_927_frames.npy
    rough_riding_ranger_frames.npy

held-out baselines: zero 0.29632  PERSISTENCE 0.04399  (the one to beat)

params 10,297,838 (3,840,000 association)
/home/brandonin/Documents/IBM-1/scripts/train_video_multifilm.py:131: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"{step:6d}  train {float(loss):.5f}  held {held:.5f}  "
     0  train 0.40537  held 0.31628  persist 0.02607  SKILL -11.1308  r_eff 13.92      1s  <- best
   250  train 0.18221  held 0.15093  persist 0.05445  SKILL -1.7716  r_eff  1.35     47s  <- best
   500  train 0.15050  held 0.13425  persist 0.03952  SKILL -2.3972  r_eff  1.38     93s
   750  train 0.14290  held 0.13222  persist 0.04461  SKILL -1.9638  r_eff  1.48    139s
  1000  train 0.15543  held 0.12242  persist 0.04549  SKILL -1.6909  r_eff  1.85    185s  <- best
  1250  train 0.17025  held 0.13877  persist 0.07050  SKILL -0.9683  r_eff  2.68    230s  <- best
  1500  train 0.14956  held 0.11894  persist 0.04830  SKILL -1.4627  r_eff  2.52    276s
  1750  train 0.19804  held 0.12880  persist 0.05842  SKILL -1.2048  r_eff  2.30    321s
  2000  train 0.13840  held 0.12314  persist 0.04831  SKILL -1.5493  r_eff  2.48    367s
  2250  train 0.12184  held 0.12796  persist 0.04638  SKILL -1.7589  r_eff  2.59    412s
  2500  train 0.13944  held 0.11979  persist 0.05480  SKILL -1.1858  r_eff  2.67    457s
  2750  train 0.13744  held 0.11589  persist 0.04152  SKILL -1.7914  r_eff  2.45    503s
  3000  train 0.10738  held 0.11701  persist 0.04464  SKILL -1.6209  r_eff  2.70    548s
  3250  train 0.17157  held 0.11802  persist 0.05106  SKILL -1.3113  r_eff  2.89    594s
  3500  train 0.14662  held 0.11331  persist 0.04776  SKILL -1.3727  r_eff  2.40    639s
  3750  train 0.08278  held 0.11601  persist 0.04404  SKILL -1.6345  r_eff  3.03    684s
  4000  train 0.12045  held 0.11821  persist 0.04363  SKILL -1.7095  r_eff  2.79    729s
  4250  train 0.14642  held 0.11332  persist 0.05233  SKILL -1.1657  r_eff  3.01    775s
  4500  train 0.14368  held 0.11726  persist 0.04930  SKILL -1.3784  r_eff  3.26    820s
  4750  train 0.15037  held 0.10971  persist 0.04365  SKILL -1.5136  r_eff  3.56    865s
  5000  train 0.11301  held 0.11416  persist 0.04443  SKILL -1.5697  r_eff  3.83    910s
  5250  train 0.10928  held 0.10184  persist 0.03615  SKILL -1.8174  r_eff  4.24    956s
  5500  train 0.14946  held 0.10996  persist 0.04718  SKILL -1.3304  r_eff  4.35   1001s
  5750  train 0.14177  held 0.10826  persist 0.03994  SKILL -1.7106  r_eff  4.16   1046s
  6000  train 0.15074  held 0.11387  persist 0.04571  SKILL -1.4910  r_eff  4.10   1091s
  6250  train 0.13165  held 0.10596  persist 0.04208  SKILL -1.5181  r_eff  3.85   1137s
  6500  train 0.13038  held 0.11291  persist 0.04486  SKILL -1.5171  r_eff  3.90   1182s
