[1/117] sub-001: kept 287  (7s)
[2/117] sub-005: kept 148  (9s)
[3/117] sub-007: kept 112  (12s)
[4/117] sub-008: no trial survived  (15s)
[5/117] sub-010: kept 186  (18s)
[6/117] sub-012: kept 29  (20s)
[7/117] sub-013: kept 287  (23s)
[8/117] sub-014: no trial survived  (26s)
[9/117] sub-016: no trial survived  (28s)
[10/117] sub-018: no trial survived  (32s)
[11/117] sub-019: kept 179  (36s)
[12/117] sub-020: kept 221  (38s)
[13/117] sub-021: kept 136  (41s)
[14/117] sub-022: kept 287  (44s)
[15/117] sub-023: channel set differs from the first subject's  (50s)
[16/117] sub-024: no trial survived  (52s)
[17/117] sub-025: kept 284  (55s)
[18/117] sub-026: kept 282  (57s)
[19/117] sub-027: kept 266  (60s)
[20/117] sub-028: kept 299  (63s)
[21/117] sub-029: kept 284  (65s)
[22/117] sub-031: kept 196  (68s)
[23/117] sub-032: kept 191  (71s)
[24/117] sub-033: kept 6  (74s)
[25/117] sub-034: kept 297  (79s)
[26/117] sub-037: kept 295  (82s)
[27/117] sub-038: kept 286  (84s)
[28/117] sub-039: kept 220  (87s)
[29/117] sub-040: kept 190  (90s)
[30/117] sub-041: kept 266  (93s)
[31/117] sub-043: kept 164  (97s)
[32/117] sub-044: kept 295  (99s)
[33/117] sub-045: kept 283  (102s)
[34/117] sub-046: kept 163  (104s)
[35/117] sub-047: kept 288  (107s)
[36/117] sub-048: kept 261  (111s)
[37/117] sub-050: kept 300  (114s)
[38/117] sub-051: kept 272  (117s)
[39/117] sub-053: kept 297  (119s)
[40/117] sub-054: kept 248  (122s)
[41/117] sub-055: kept 214  (125s)
[42/117] sub-056: kept 273  (128s)
[43/117] sub-057: kept 269  (132s)
[44/117] sub-058: kept 218  (137s)
[45/117] sub-059: kept 297  (141s)
[46/117] sub-061: kept 261  (145s)
[47/117] sub-062: kept 179  (146s)
[48/117] sub-063: kept 297  (150s)
[49/117] sub-065: kept 18  (151s)
[50/117] sub-067: kept 234  (158s)
[51/117] sub-068: kept 140  (162s)
[52/117] sub-071: kept 193  (165s)
[53/117] sub-072: kept 282  (168s)
[54/117] sub-073: kept 250  (171s)
[55/117] sub-074: kept 231  (177s)
[56/117] sub-076: kept 240  (180s)
[57/117] sub-078: kept 61  (181s)
[58/117] sub-079: kept 132  (183s)
[59/117] sub-080: kept 285  (193s)
[60/117] sub-081: kept 288  (197s)
[61/117] sub-082: kept 139  (199s)
[62/117] sub-083: kept 279  (201s)
[63/117] sub-084: kept 214  (205s)
[64/117] sub-085: kept 114  (208s)
[65/117] sub-086: kept 225  (211s)
[66/117] sub-087: kept 83  (216s)
[67/117] sub-088: kept 67  (219s)
[68/117] sub-091: kept 269  (224s)
[69/117] sub-092: kept 296  (233s)
[70/117] sub-093: kept 160  (237s)
[71/117] sub-094: kept 254  (245s)
[72/117] sub-095: kept 293  (259s)
[73/117] sub-096: kept 243  (266s)
[74/117] sub-097: kept 295  (273s)
[75/117] sub-098: kept 299  (278s)
[76/117] sub-099: kept 165  (284s)
[77/117] sub-101: kept 298  (289s)
[78/117] sub-102: kept 295  (296s)
[79/117] sub-103: kept 223  (303s)
[80/117] sub-104: kept 39  (307s)
[81/117] sub-105: kept 203  (309s)
[82/117] sub-106: kept 199  (313s)
[83/117] sub-107: kept 300  (316s)
[84/117] sub-108: kept 276  (320s)
[85/117] sub-109: kept 293  (326s)
[86/117] sub-110: kept 202  (331s)
[87/117] sub-111: kept 296  (334s)
[88/117] sub-112: kept 280  (342s)
[89/117] sub-113: kept 214  (345s)
[90/117] sub-114: kept 136  (351s)
[91/117] sub-116: kept 219  (357s)
[92/117] sub-117: kept 237  (362s)
[93/117] sub-118: kept 118  (367s)
[94/117] sub-119: kept 300  (374s)
[95/117] sub-121: kept 274  (381s)
[96/117] sub-122: kept 299  (385s)
[97/117] sub-123: kept 227  (389s)
[98/117] sub-124: kept 295  (392s)
[99/117] sub-125: kept 248  (397s)
[100/117] sub-126: kept 299  (400s)
[101/117] sub-127: kept 173  (404s)
[102/117] sub-128: kept 103  (409s)
[103/117] sub-129: kept 275  (415s)
[104/117] sub-130: kept 265  (420s)
[105/117] sub-131: kept 283  (430s)
[106/117] sub-132: kept 274  (434s)
[107/117] sub-133: kept 289  (441s)
[108/117] sub-134: kept 32  (447s)
[109/117] sub-140: kept 294  (452s)
[110/117] sub-141: kept 231  (459s)
[111/117] sub-142: kept 220  (464s)
[112/117] sub-143: kept 299  (468s)
[113/117] sub-145: kept 281  (474s)
[114/117] sub-146: kept 297  (483s)
[115/117] sub-147: kept 139  (500s)
[116/117] sub-148: kept 292  (506s)
[117/117] sub-149: kept 259  (511s)
done: 111 subjects, 25338 trials, 6 excluded
